t,q,tau
0.532,-1.149224263,67.04395362
0.536,-1.151370125,67.1525193
0.54,-1.15350081,67.25998816
0.544,-1.155616357,67.36636856
0.548,-1.157716805,67.47166883
0.552,-1.159802196,67.57589733
0.556,-1.161872573,67.67906259
0.56,-1.163927982,67.78117312
0.564,-1.16596847,67.88223744
0.568,-1.167994085,67.98226427
0.572,-1.170004877,68.08126239
0.576,-1.172000896,68.1792406
0.58,-1.173982195,68.27620787
0.584,-1.175948828,68.37217291
0.588,-1.177900848,68.46714481
0.592,-1.179838312,68.56113233
0.596,-1.181761276,68.65414447
0.6,-1.183669799,68.74619003
0.604,-1.185563938,68.83727775
0.608,-1.187443756,68.9274165
0.612,-1.189309311,69.01661477
0.616,-1.191160666,69.10488119
0.62,-1.192997884,69.19222429
0.624,-1.194821028,69.27865239
0.628,-1.196630164,69.36417404
0.632,-1.198425356,69.44879737
0.636,-1.200206671,69.53253068
0.64,-1.201974176,69.61538235
0.644,-1.203727938,69.69736038
0.648,-1.205468026,69.77847309
0.652,-1.207194508,69.85872862
0.656,-1.208907454,69.93813503
0.66,-1.210606933,70.01670062
0.664,-1.212293017,70.09443329
0.668,-1.213965776,70.17134147
0.672,-1.215625281,70.24743289
0.676,-1.217271604,70.32271577
0.68,-1.218904817,70.39719815
0.684,-1.220524993,70.47088789
0.688,-1.222132203,70.54379293
0.692,-1.223726522,70.61592115
0.696,-1.225308022,70.68728026
0.7,-1.226876776,70.757878
0.704,-1.22843286,70.82772205
0.708,-1.229976346,70.89681996
0.712,-1.231507309,70.9651792
0.716,-1.233025823,71.03280727
0.72,-1.234531964,71.09971159
0.724,-1.236025806,71.16589937
0.728,-1.237507424,71.23137787
0.732,-1.238976893,71.29616564
0.736,-1.240434288,71.36025065
0.74,-1.241879686,71.42362416
0.744,-1.243313161,71.48632074
0.748,-1.244734788,71.54834888
0.752,-1.246144644,71.60971556
0.756,-1.247542803,71.67042762
0.76,-1.248929341,71.73049552
0.764,-1.250304332,71.78993553
0.768,-1.251667852,71.84872779
0.772,-1.253019978,71.90687226
0.776,-1.254360784,71.96438926
0.78,-1.255690345,72.02128606
0.784,-1.257008738,72.07756943
0.788,-1.258316036,72.13324613
0.792,-1.259612314,72.18832278
0.796,-1.260897648,72.24280592
0.8,-1.262172111,72.29670203
0.804,-1.26343578,72.35001743
0.808,-1.264688727,72.40275816
0.812,-1.265931027,72.45493041
0.816,-1.267162754,72.50654011
0.82,-1.268383983,72.55759312
0.824,-1.269594787,72.60809538
0.828,-1.27079524,72.65805278
0.832,-1.271985415,72.70747099
0.836,-1.273165386,72.75635599
0.84,-1.274335225,72.80471339
0.844,-1.275495005,72.85254898
0.848,-1.276644799,72.89986841
0.852,-1.277784679,72.94667733
0.856,-1.278914718,72.99298122
0.86,-1.280034986,73.03878563
0.864,-1.281145556,73.08409581
0.868,-1.282246499,73.12891735
0.872,-1.283337886,73.17325539
0.876,-1.284419788,73.21711526
0.88,-1.285492274,73.2605021
0.884,-1.286555417,73.30342108
0.888,-1.287609285,73.34587734
0.892,-1.288653948,73.38787591
0.896,-1.289689476,73.42942176
0.9,-1.290715938,73.47051981
0.904,-1.291733402,73.51117498
0.908,-1.292741937,73.5513922
0.912,-1.293741611,73.59117612
0.916,-1.294732492,73.63053158
0.92,-1.295714648,73.66946324
0.924,-1.296688146,73.70797577
0.928,-1.297653053,73.74607372
0.932,-1.298609435,73.78376165
0.936,-1.299557359,73.8210441
0.94,-1.300496891,73.85792552
0.944,-1.301428096,73.89441028
0.948,-1.30235104,73.93050278
0.952,-1.303265787,73.96620735
0.956,-1.304172403,74.00152829
0.96,-1.305070951,74.03646976
0.964,-1.305961495,74.07103602
0.968,-1.306844099,74.10523122
0.972,-1.307718827,74.13905935
0.976,-1.30858574,74.17252455
0.98,-1.309444903,74.20563082
0.984,-1.310296376,74.23838204
0.988,-1.311140222,74.27078229
0.992,-1.311976502,74.30283532
0.996,-1.312805277,74.33454495
1,-1.313626609,74.36591505
1.004,-1.314440557,74.39694935
1.008,-1.315247181,74.42765154
1.012,-1.316046542,74.45802531
1.016,-1.316838699,74.48807435
1.02,-1.31762371,74.51780209
1.024,-1.318401635,74.54721226
1.028,-1.319172531,74.57630827
1.032,-1.319936457,74.60509361
1.036,-1.32069347,74.63357173
1.04,-1.321443627,74.66174607
1.044,-1.322186985,74.68961994
1.048,-1.322923601,74.71719675
1.052,-1.323653531,74.74447961
1.056,-1.32437683,74.77147195
1.06,-1.325093554,74.79817699
1.064,-1.325803758,74.82459783
1.068,-1.326507497,74.85073758
1.072,-1.327204825,74.87659946
1.076,-1.327895795,74.90218649
1.08,-1.328580462,74.92750173
1.084,-1.329258878,74.9525482
1.088,-1.329931098,74.9773288
1.092,-1.330597172,75.0018465
1.096,-1.331257154,75.0261043
1.1,-1.331911094,75.050105
1.104,-1.332559046,75.07385142
1.108,-1.333201059,75.09734641
1.112,-1.333837184,75.12059278
1.116,-1.334467472,75.14359321
1.12,-1.335091973,75.16635046
1.124,-1.335710737,75.18886722
1.128,-1.336323813,75.2111461
1.132,-1.336931249,75.23318978
1.136,-1.337533095,75.25500084
1.14,-1.338129399,75.27658195
1.144,-1.338720209,75.29793552
1.148,-1.339305572,75.31906408
1.152,-1.339885536,75.33997014
1.156,-1.340460147,75.36065617
1.16,-1.341029452,75.38112459
1.164,-1.341593498,75.40137774
1.168,-1.34215233,75.42141805
1.172,-1.342705994,75.44124792
1.176,-1.343254535,75.46086961
1.18,-1.343797998,75.4802854
1.184,-1.344336427,75.49949759
1.188,-1.344869867,75.51850842
1.192,-1.345398361,75.53732006
1.196,-1.345921954,75.55593477
1.2,-1.346440688,75.57435469
1.204,-1.346954606,75.59258201
1.208,-1.347463751,75.61061871
1.212,-1.347968165,75.62846702
1.216,-1.34846789,75.64612902
1.22,-1.348962968,75.66360664
1.224,-1.349453439,75.68090197
1.228,-1.349939346,75.69801707
1.232,-1.350420727,75.71495384
1.236,-1.350897625,75.73171425
1.24,-1.351370078,75.7483003
1.244,-1.351838127,75.7647138
1.248,-1.35230181,75.78095673
1.252,-1.352761168,75.79703094
1.256,-1.353216238,75.8129382
1.26,-1.353667059,75.82868041
1.264,-1.35411367,75.84425934
1.268,-1.354556108,75.85967689
1.272,-1.354994411,75.87493466
1.276,-1.355428615,75.89003451
1.28,-1.355858759,75.90497812
1.284,-1.356284878,75.91976722
1.288,-1.356707009,75.93440345
1.292,-1.357125188,75.94888856
1.296,-1.357539451,75.96322416
1.3,-1.357949834,75.97741192
1.304,-1.35835637,75.99145335
1.308,-1.358759097,76.00535008
1.312,-1.359158047,76.01910375
1.316,-1.359553255,76.03271585
1.32,-1.359944756,76.046188
1.324,-1.360332584,76.05952168
1.328,-1.360716771,76.07271836
1.332,-1.361097351,76.08577957
1.336,-1.361474357,76.09870677
1.34,-1.361847821,76.11150142
1.344,-1.362217777,76.12416498
1.348,-1.362584256,76.13669881
1.352,-1.362947289,76.14910435
1.356,-1.36330691,76.16138309
1.36,-1.363663148,76.17353625
1.364,-1.364016035,76.18556526
1.368,-1.364365602,76.19747148
1.372,-1.36471188,76.20925624
1.376,-1.365054898,76.22092081
1.38,-1.365394687,76.23246649
1.384,-1.365731277,76.24389466
1.388,-1.366064696,76.25520648
1.392,-1.366394975,76.26640327
1.396,-1.366722143,76.27748624
1.4,-1.367046227,76.28845662
1.404,-1.367367257,76.2993156
1.408,-1.367685262,76.31006447
1.412,-1.368000268,76.32070438
1.416,-1.368312304,76.33123643
1.42,-1.368621398,76.34166188
1.424,-1.368927576,76.35198177
1.428,-1.369230867,76.36219742
1.432,-1.369531296,76.37230973
1.436,-1.36982889,76.38231991
1.44,-1.370123676,76.39222915
1.444,-1.37041568,76.40203836
1.448,-1.370704928,76.41174869
1.452,-1.370991446,76.42136124
1.456,-1.371275259,76.430877
1.46,-1.371556392,76.44029699
