t,q_ll4_kne_pit,tau_ll4_kne_pit,q,tau
0,-0.8,0,-0.8,0
0.004,-0.800070897,0,-0.800070375,0
0.008,-0.800570472,0,-0.800568344,0
0.012,-0.801349558,11.45665483,-0.801345544,11.48506695
0.016,-0.802233845,11.69634754,-0.802228673,11.73116885
0.02,-0.803334074,11.82913625,-0.803327914,11.86682266
0.024,-0.804605239,11.8765712,-0.804598033,11.91529838
0.028,-0.805968753,11.80408559,-0.80596048,11.84187187
0.032,-0.807369887,11.66190831,-0.807360631,11.69734275
0.036,-0.808787717,11.51045389,-0.808777605,11.54312455
0.04,-0.810223339,11.53738137,-0.810212449,11.56948285
0.044,-0.811683827,11.59312038,-0.81167213,11.62615818
0.048,-0.81317406,11.67147192,-0.81316147,11.70577638
0.052,-0.814696163,11.76403118,-0.814682596,11.79987542
0.056,-0.816250537,11.86343034,-0.816235957,11.90094153
0.06,-0.817836996,11.96406244,-0.817821426,12.00308825
0.064,-0.819455268,12.06131923,-0.819438779,12.10219598
0.068,-0.82110497,12.15375307,-0.821087684,12.1953283
0.072,-0.822785426,12.24023494,-0.822767507,12.28214243
0.076,-0.824495572,12.32105365,-0.824477192,12.36305177
0.08,-0.826234002,12.39752295,-0.826215315,12.43948096
0.084,-0.82799911,12.47150339,-0.827980242,12.5134092
0.088,-0.829789257,12.54489302,-0.829770304,12.58683229
0.092,-0.831602916,12.61913829,-0.831583941,12.66137161
0.096,-0.833438739,12.6950949,-0.83341978,12.73786368
0.1,-0.83529559,12.77322982,-0.835276665,12.8166378
0.104,-0.837172519,12.85325328,-0.837153641,12.89746208
0.108,-0.839068727,12.93450989,-0.839049903,12.97964897
0.112,-0.840983507,13.01618002,-0.840964745,13.06233515
0.116,-0.84291619,13.09746653,-0.8428975,13.14467977
0.12,-0.844866098,13.1777317,-0.844847496,13.22600583
0.124,-0.846832519,13.25657224,-0.846814025,13.30587899
0.128,-0.848814684,13.33383493,-0.848796327,13.38412482
0.132,-0.850811783,13.40958402,-0.850793593,13.46079599
0.136,-0.852822969,13.48403732,-0.852804981,13.53610666
0.14,-0.854847383,13.55749007,-0.854829633,13.61035391
0.144,-0.856884176,13.63024292,-0.856866701,13.68384333
0.148,-0.858932523,13.70254637,-0.85891536,13.75683158
0.152,-0.860991642,13.77456783,-0.860974828,13.82949215
0.156,-0.863060793,13.84638164,-0.863044364,13.90190496
0.16,-0.865139283,13.91797839,-0.865123275,13.97406571
0.164,-0.867226462,13.98936579,-0.867210909,14.04597523
